Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
74034,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,"Postman, Neil",Andrew Postman,"=""014303653X""","=""9780143036531""",0,4.15,Penguin Books,Paperback,184,2005,1985,,2022/02/11,to-read,to-read (#121),to-read,,,,0,0
642914,Rabelais and His World,Mikhail Bakhtin,"Bakhtin, Mikhail",Hélène Iswolsky,"=""0253203414""","=""9780253203410""",0,4.26,Indiana University Press,Paperback,474,2009,1965,,2022/02/05,to-read,to-read (#120),to-read,,,,0,0
53233940,The Great Gatsby: Introduction by Malcolm Bradbury (Everyman's Library Contemporary Classics Series),F. Scott Fitzgerald,"Fitzgerald, F. Scott",Malcolm Bradbury,"=""1101908297""","=""9781101908297""",4,3.93,Everyman's Library,Hardcover,208,2021,1925,2022/02/03,2022/01/29,,,read,"Hadn't read this since high school. I remember it being one I really liked in high school. Funny how the ✨Gatsby ✨motif gets a certain billing in popular culture when, uh, that's not exactly how the book wants you to think of it.",,,1,0
29780954,Insurrections,Rion Amilcar Scott,"Scott, Rion Amilcar",,"=""081316818X""","=""9780813168180""",4,4.01,University Press of Kentucky,Hardcover,194,2016,2016,2022/01/31,2016/08/31,,,read,,,,1,0
57066978,The Sinner and the Saint: Dostoevsky and the Gentleman Murderer Who Inspired a Masterpiece,Kevin Birmingham,"Birmingham, Kevin",,"=""1594206309""","=""9781594206306""",3,4.27,Penguin Press,Hardcover,416,2021,2021,2022/01/29,2021/10/26,,,read,Pretty good intro to the political and cultural context of Dostoevsky's writing. But the central premise of the book that the Lacenaire murder was the inspiration for Crime & Punishment seems kinda tenuous at best,,,1,0
5700,The Adolescent (Vintage Classics),Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0375719008""","=""9780375719004""",4,3.94,Vintage,Paperback,580,2004,1875,2017/02/21,2017/01/21,,,read,,,,2,0
13330922,"The Black Count: Glory, Revolution, Betrayal, and the Real Count of Monte Cristo",Tom Reiss,"Reiss, Tom",,"=""030738246X""","=""9780307382467""",0,4.02,Crown,Hardcover,414,2012,2012,,2022/01/28,to-read,to-read (#119),to-read,,,,0,0
402392,"Crazy '08: How a Cast of Cranks, Rogues, Boneheads, and Magnates Created the Greatest Year in Baseball History",Cait Murphy,"Murphy, Cait",,"=""0060889373""","=""9780060889371""",0,3.97,Smithsonian,Hardcover,384,2007,2007,,2022/01/26,to-read,to-read (#118),to-read,,,,0,0
51343042,What It Means to Be Human: The Case for the Body in Public Bioethics,O. Carter Snead,"Snead, O. Carter",,"=""0674987721""","=""9780674987722""",0,4.13,Harvard University Press,Hardcover,336,2020,2020,,2022/01/24,to-read,to-read (#117),to-read,,,,0,0
55769893,Dostoevsky's Incarnational Realism: Finding Christ among the Karamazovs,Paul J. Contino,"Contino, Paul J.",,"=""1725250764""","=""9781725250765""",0,3.83,"Cascade Books, an Imprint of Wipf and Stock Publishers",Kindle Edition,313,2020,,,2022/01/17,to-read,to-read (#116),to-read,,,,0,0
55660735,Hero of Two Worlds: The Marquis de Lafayette in the Age of Revolution,Mike     Duncan,"Duncan, Mike",,"=""154173033X""","=""9781541730335""",4,4.51,PublicAffairs,Hardcover,512,2021,2021,2022/01/10,2021/12/11,,,read,,,,1,0
42641,Resurrection,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""0735102864""","=""9780735102866""",0,4.16,Replica Books,Hardcover,562,2002,1899,,2022/01/08,to-read,to-read (#115),to-read,,,,0,0
226378,A Hero of Our Time,Mikhail Lermontov,"Lermontov, Mikhail",Paul Foote,"=""014044176X""","=""9780140441765""",0,4.11,Penguin Classics,Paperback,185,1966,1839,,2022/01/08,to-read,to-read (#114),to-read,,,,0,0
28462,Spring Torrents,Ivan Turgenev,"Turgenev, Ivan",,"=""014044369X""","=""9780140443691""",0,3.95,Penguin,Paperback,240,1983,1872,,2022/01/08,to-read,to-read (#113),to-read,,,,0,0
55711743,Light Perpetual,Francis Spufford,"Spufford, Francis",,"=""1982174145""","=""9781982174149""",4,3.67,Scribner,Hardcover,336,2021,2021,2022/01/08,2021/06/06,,,read,,,,1,0
13259261,The Illustrated Man,Ray Bradbury,"Bradbury, Ray",,"=""1451678185""","=""9781451678185""",4,4.13,Simon and Schuster,Paperback,281,2012,1951,2021/12/30,2020/12/27,,,read,,,,1,0
50482979,Missionaries,Phil Klay,"Klay, Phil",,"=""1984880659""","=""9781984880659""",4,3.87,Penguin Press,Hardcover,416,2020,2020,2021/12/29,2021/12/23,,,read,,,,1,0
17878,The Village of Stepanchikovo,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Fyodor Dostoyevsky, Ignat Avsey","=""0140446583""","=""9780140446586""",3,3.85,Penguin Book Limited,Paperback,224,2001,1859,2021/12/26,2021/12/19,,,read,,,,1,0
57109107,The Lincoln Highway,Amor Towles,"Towles, Amor",,"=""0735222355""","=""9780735222359""",3,4.23,Viking,Hardcover,576,2021,2021,2021/12/22,2021/12/01,,,read,,,,1,0
38465551,The Shift: The Next Evolution in Baseball Thinking,Russell A. Carleton,"Carleton, Russell A.",Jeff Passan,"=""1641250143""","=""9781641250146""",0,4.11,Triumph Books,Kindle Edition,366,2018,2018,,2021/12/17,to-read,to-read (#112),to-read,,,,0,0
60403,Love in the Ruins,Walker Percy,"Percy, Walker",,"=""0312243111""","=""9780312243111""",4,3.83,Picador,Paperback,416,1999,1971,2021/12/17,2020/12/31,,,read,,,,1,0
56047271,Tastes Like War,Grace M. Cho,"Cho, Grace M.",,"=""1952177944""","=""9781952177941""",0,3.91,The Feminist Press,Paperback,289,2021,2021,,2021/12/16,to-read,to-read (#111),to-read,,,,0,0
57179475,You Are Not Your Own: Belonging to God in an Inhuman World,Alan  Noble,"Noble, Alan",,"=""0830847820""","=""9780830847822""",4,4.34,IVP,Hardcover,232,2021,2021,2021/12/16,2021/07/02,,,read,,,,1,0
56916744,Dostoevsky at 200: The Novel in Modernity,Katherine Bowers,"Bowers, Katherine",Kate Holland,"=""1487508638""","=""9781487508630""",4,3.20,University of Toronto Press,Hardcover,264,2021,,2021/12/10,2021/05/18,,,read,,,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",4,4.31,Scribner,Hardcover,544,2014,2014,2021/11/30,2020/06/21,,,read,,,,1,0
4980593,Dostoevsky's Democracy,Nancy Ruttenburg,"Ruttenburg, Nancy",,"=""0691136149""","=""9780691136141""",0,3.60,Princeton University Press,Hardcover,288,2008,2008,,2021/11/25,to-read,to-read (#110),to-read,,,,0,0
18687705,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.57,Houghton Mifflin Harcourt,Kindle Edition,432,2012,1955,2021/11/24,2021/11/07,,,read,,,,1,0
582067,Anti-Intellectualism in American Life,Richard Hofstadter,"Hofstadter, Richard",,"=""0394703170""","=""9780394703176""",3,4.12,Vintage,Paperback,434,1964,1963,2021/11/21,2015/12/26,,,read,,,,1,0
